,Disease,hypertensive disease,diabetes,depression mental,coronary arteriosclerosis,pneumonia,failure heart congestive,accidentÂ cerebrovascular,asthma,myocardial infarction,hypercholesterolemia,infection,infection urinary tract,anemia,chronic obstructive airway disease,dementia,insufficiency renal,confusion,degenerativeÂ polyarthritis,hypothyroidism,anxiety state,malignant neoplasms,acquiredÂ immuno-deficiency syndrome,cellulitis,gastroesophageal reflux disease,septicemia,deep vein thrombosis,dehydration,neoplasm,embolism pulmonary,epilepsy,cardiomyopathy,chronic kidney failure,carcinoma,hepatitis C,peripheral vascular disease,psychotic disorder,hyperlipidemia,bipolar disorder,obesity,ischemia,cirrhosis,exanthema,benign prostatic hypertrophy,kidney failure acute,mitral valve insufficiency,arthritis,bronchitis,hemiparesis,osteoporosis,transient ischemic attack,adenocarcinoma,paranoia,pancreatitis,incontinence,paroxysmalÂ dyspnea,hernia,malignant neoplasm of prostate^UMLS:C0600139,edema pulmonary,lymphatic diseases,stenosis aortic valve,malignant neoplasm of breast^UMLS:C0678222,schizophrenia,diverticulitis,overload fluid,ulcer peptic,osteomyelitis,gastritis,bacteremia,failure kidney,sickle cell anemia,failure heart,upper respiratory infection,hepatitis,hypertension pulmonary,deglutition disorder,gout,thrombocytopaenia,hypoglycemia,pneumonia aspiration,colitis,diverticulosis,suicide attempt,PneumocystisÂ cariniiÂ pneumonia,hepatitis B,parkinson disease,lymphoma,hyperglycemia,encephalopathy,tricuspid valve insufficiency,Alzheimer's disease,candidiasis^UMLS:C0006849,neuropathy,kidney disease,fibroid tumor,glaucoma,neoplasm metastasis,malignant tumor of colon^UMLS:C0699790,ketoacidosis diabetic,tonic-clonic epilepsy^UMLS:C0494475,malignantÂ neoplasms,respiratory failure,melanoma,gastroenteritis,malignant neoplasm of lung^UMLS:C0684249,manic disorder,personality disorder,primary carcinoma of the liver cells,emphysema pulmonary,hemorrhoids,spasm bronchial,aphasia,obesity morbid,pyelonephritis,endocarditis,effusion pericardial^UMLS:C1253937,chronic alcoholic intoxication,pneumothorax,delirium,neutropenia,hyperbilirubinemia,influenza,dependence,thrombus,cholecystitis,herniaÂ hiatal,migraine disorders,pancytopenia,cholelithiasis^UMLS:C0242216,tachycardia sinus,ileus,adhesion,delusion,affect labile,decubitus ulcer
10,,pressure chest,vertigo,worry,,green sputum,,,,chest tightness,t wave inverted,cough,consciousness clear,orthostasis,,pain,difficulty,asthenia,,speech slurred,hallucinations visual,,productive cough,scratch marks,constipation,unresponsiveness,redness,syncope,night sweat,unresponsiveness,lethargy,leftÂ atrialÂ hypertrophy,malaise,unhappy,,,catatonia,dizziness,catatonia,ecchymosis,asymptomatic,bleeding of vagina,chill,,,pain,,snuffle,drowsiness,apyrexial,headache,pain abdominal,mood depressed,,syncope,,food intolerance,diarrhea,hyperkalemia,non-productive cough,,formication,,apyrexial,,nervousness,urinary hesitation,dizziness,diarrhea,bedridden,,,barking cough,vomiting,,decreased body weight,,,,cough,pain abdominal,anorexia,agitation,dyspnea on exertion,,worry,polydypsia,,thicken,,groggy,transaminitis,,,proteinemia,,,systolic ejection murmur,urinary hesitation,headache,food intolerance,consciousness clear,,decreased body weight,asthenia,decompensation,extreme exhaustion,pain abdominal,cachexia,burning sensation,sensory discomfort,,renal angle tenderness,chill,metastatic lesion,intoxication,unconscious state,,diarrhea,rhd positive,,dysuria,heavy legs,,groggy,guaiac positive,,,,,constipation,hallucinations visual,decompensation,,
11,,,vomiting,agitation,,non-productive cough,,,,presence of q wave,bradycardia,,,hyponatremia,,facial paresis,diarrhea,sleepy,,weight gain,formication,,muscle hypotonia,chill,palpitation,rale,,lethargy,hemianopsia homonymous,distress respiratory,wheelchair bound,fatigue,chill,paresthesia,,,weepiness,,feeling hopeless,,anorexia,,scratch marks,,,cardiomegaly,,hacking cough,fremitus,urge incontinence,room spinning,,decompensation,,fall,,pulse absent,vertigo,sinus rhythm,egophony,,,,abdominal tenderness,,,,,abdominal tenderness,fatigue,,,polymyalgia,,,stiffness,,,,gurgle,hemodynamically stable,nausea,unresponsiveness,poor dentition,,drowsiness,difficulty passing urine,,hypokinesia,,muscle twitch,non-productive cough,,,,,,nausea,diarrhea,ambidexterity,distress respiratory,shortness of breath,,,metastatic lesion,verbally abusive behavior,side pain,hepatomegaly,symptom aggravating factors,guaiac positive,fever,,feels hot/feverish,,breath sounds decreased,,panic,,,distress respiratory,,lip smacking,rale,,sinus rhythm,numbness of hand,,,,,thicken,feeling suicidal,verbally abusive behavior,,
12,,,labored breathing,tremor,,wheezing,,,,palpitation,dyspnea,,,dizziness,,abdominal tenderness,hypotension,dizziness,,asthenia,difficulty,,feeling suicidal,sore to touch,pain abdominal,apyrexial,,dizziness,satiety early,wheezing,,weight gain,rale,gravida 0,,,homelessness,,worry,,,,pain,,,chest discomfort,,dyspnea,Stahli's line,lightheadedness,syncope,,cicatrisation,,stiffness,,asthenia,qt interval prolonged,pain chest,redness,,,,fever,,,,,pleuritic pain,,,,pleuritic pain,,,lesion,,,,pain,,feeling suicidal,blackout,transaminitis,,hematuria,,,,,wheelchair bound,adverse reaction,,,,,,hyperemesis,seizure,absences finding,hypotension,lesion,,,agitation,suicidal,worry,hematocrit decreased,dyspnea,numbness of hand,vomiting,,,,decreased body weight,,breath sounds decreased,,,,,headache,,,gasping for breath,headache,,,,,gravida 0,,catatonia,,
13,,,,intoxication,,haemoptysis,,,,dyspnea,,,,shortness of breath,,rhonchus,breath sounds decreased,headache,,fatigue,pain chest,,,,heartburn,,,syncope,pain abdominal,apyrexial,,patient non compliance,fever,diarrhea,,,sleeplessness,,sleeplessness,,,,painful swallowing,,,,,chill,stinging sensation,,difficulty,,blackout,,unresponsiveness,,mass of body structure,ataxia,hypotension,hepatomegaly,,,,unsteady gait,,,,,decreased translucency,,,,night sweat,,,side pain,,,,diarrhea,,feeling hopeless,withdraw,non-productive cough,,tremor,,,,,tremor,abdominal bloating,,,,,,polydypsia,aura,spasm,,redness,,,irritable mood,feeling suicidal,enuresis,stupor,rale,wheezing,rhonchus,,,,,,shortness of breath,,,,,sneeze,,,constipation,photophobia,,,,,pain abdominal,,suicidal,,
14,,,,verbal auditory hallucinations,,distress respiratory,,,,chest discomfort,,,,pain,,unsteady gait,swelling,dysarthria,,agitation,patient non compliance,,,,sweat,,,,headache,non-productive cough,,,pleuritic pain,sore to touch,,,withdraw,,hypersomnia,,,,,,,,,stridor,paralyse,,rambling speech,,loose associations,,,,thicken,paresis,wheezing,fatigue,,,,thicken,,,,,pallor,,,,dyspnea,,,,,,,pain abdominal,,,difficulty,headache,,night sweat,,,,,cough,,,,,,,,,decreased body weight,,,,,,,homelessness,decreased body weight,flushing,cough,hemiplegia,,,,pulsusÂ paradoxus,,,,,,,snore,,,feces in rectum,,,,,,,,terrify,,
15,,,,energy increased,,tachypnea,,,,bradycardia,,,,rhonchus,,hallucinations auditory,hypokinesia,lightheadedness,,mental status changes,agitation,,,,asthenia,,,,,,,,apyrexial,heartburn,,,energy increased,,difficulty,,,,,,,,,decreased body weight,clonus,,clumsiness,,,,,,,hemianopsia homonymous,,,,,,urgency ofÂ micturition,,,,,,,,,productive cough,,,,,,,,,,irritable mood,floppy,,mass of body structure,,,,,fever,,,,,,,,,tumor cell invasion,,,,,,,nervousness,shortness of breath,painful swallowing,,fremitus,,,,hypokinesia,,,,,,,green sputum,,,abnormally hard consistency,,,,,,,,blackout,,
16,,,,difficulty,,malaise,,,,syncope,,,,arthralgia,,,,tremor,,motor retardation,palpitation,,,,,,,,,,,,guaiac positive,nausea,,,intoxication,,hallucinations visual,,,,,,,,,,facial paresis,,,,,,,,,tumor cell invasion,,,,,,anorexia,,,,,,,,,decreased translucency,,,,,,,,,,sensory discomfort,spontaneous rupture of membranes,,,,,,,,,,,,,,,,,,,,,,,ascites,cough,arthralgia,,,,,,,,,,,,,shortness of breath,,,,,,,,,,,weepiness,,
17,,,,nightmare,,night sweat,,,,,,,,swelling,,,,hyponatremia,,vomiting,hallucinations auditory,,,,,,,,,,,,swelling,lung nodule,,,worry,,hyperhidrosis disorder,,,,,,,,,,,,,,,,,,,hemodynamically stable,,,,,,monoclonal,,,,,,,,,rhonchus,,,,,,,,,,drowsiness,,,,,,,,,,,,,,,,,,,,,,,,pruritus,,choke,,,,,,,,,,,,,distress respiratory,,,,,,,,,,,impaired cognition,,
18,,,,unable to concentrate,,,,,,,,,,transaminitis,,,,unresponsiveness,,numbness,mood depressed,,,,,,,,,,,,catatonia,,,,behavior hyperactive,,mydriasis,,,,,,,,,,,,,,,,,,,mass of body structure,,,,,,constipation,,,,,,,,,rapid shallow breathing,,,,,,,,,,formication,,,,,,,,,,,,,,,,,,,,,,,,,,tenesmus,,,,,,,,,,,,,blackout,,,,,,,,,,,irritable mood,,
19,,,,homelessness,,,,,,,,,,,,,,,,mass of body structure,hot flush,,,,,,,,,,,,unresponsiveness,,,,patient non compliance,,extrapyramidal sign,,,,,,,,,,,,,,,,,,,rhonchus,,,,,,,,,,,,,,,apyrexial,,,,,,,,,,unconscious state,,,,,,,,,,,,,,,,,,,,,,,,,,constipation,,,,,,,,,,,,,extreme exhaustion,,,,,,,,,,,agitation,,
20,,,,,,,,,,,,,,,,,,,,,pain,,,,,,,,,,,,yellow sputum,,,,mood depressed,,loose associations,,,,,,,,,,,,,,,,,,,orthostasis,,,,,,,,,,,,,,,noisy respiration,,,,,,,,,,fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,consciousness clear,,,,,,,,,,,,,,,,terrify,,intoxication,,,,,,,,,,,,,,,,,,,decreased body weight,,,,,,,,,,,,,,,nasal discharge present,,,,,,,,,,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,nightmare,,,,,,,,,,,,,,,,nightmare,,motor retardation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emphysematous change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
